SiteID,StudyID,Adjusted ESP with Coil (IWC),Furnace Fan Est. Airflow (CFM),Adjusted ESP with Coil (IWC) - All values,Furnace Fan Est. Airflow (CFM) All Values,Calculated alpha,Report ,Household Type,ESP Includes COIL,ESP Includes FILTER,Test Mode,Static Pressure (pascal),Static Pressure (in w. c.),Area (Sqft),Heated Floor Area (sqft),Heating Equipment Type,Cooling Equipment Type,State/Location,Comment,Air Handler Flow (CFM),Air Handler Flow (in w.c.),Pre-Retrofit (in w.c.),Post-Retrofit (in w.c.),Equipment Airflow Check (CFM),Capacity (Btu/hr),Total CFM,Filter pressure drop (Pa),Filter pressure drop (in w.c.),AC coil pressure drop (in w.c.),Supply plenum pressure wrt basement,ESP Post Coil (Pa),ESP Post Coil (in w.c.),a = P/Q2,AC tonnage,Furnace Location,"Location 1=attic, 2=basement, 3=closet, 4=outside, 5=garage",HOUSE_AGE,Construction,DUCTWORK_NEW,FURNACE_INSTALLED_WAC,FIRSTTIME_AC,DUCT_NUM_ZONES,DUCT_PERC_RIGIDMETAL,CITY,STATE,ZIP,Air Handler Watts,Motor Type,Furnace Input Capacity - High Fire (Btu/hr),Furnace Output Capacity - High Fire (Btu/hr),Furnace Input Capacity - Low Fire (Btu/hr),Furnace Output Capacity - Low Fire (Btu/hr),Blower Hp,Heating Setpoint (deg F),Cooling Setpoint (deg F),Sup. press. filter in place (Pa),Sup. press. TF in place (Pa),Filter pressure drop - fan only (Pa),Filter pressure drop - fan-only (in w.c.),ESP Post Coil - fan only(Pa),ESP Post Coil - fan-only (in w.c.),Supp. Press. Filter and TF ,TF CFM
11,1,0.38,1950,0.38,1950,1.01E-07,Blasnik et al. 1995,Single Family,NO,YES,,45,0.18,,,,,Avalon Village,,,,,,,58500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,0.44,1883,0.44,1883,1.25E-07,Blasnik et al. 1995,Single Family,NO,YES,,59.8,0.24,,,,,Angel Park,,,,,,,56500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1,0.45,1167,0.45,1167,3.31E-07,Blasnik et al. 1995,Single Family,NO,YES,,61.7,0.25,,,,,Angel Park,,,,,,,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1,0.67,1667,0.67,1667,2.43E-07,Blasnik et al. 1995,Single Family,NO,NO,,64,0.26,,,,,Los Prados,,,,,,,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,0.68,940,0.68,940,7.72E-07,Blasnik et al. 1995,Single Family,NO,NO,,66,0.27,,,,,Silverado,,,,,,,28200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,0.72,1533,0.72,1533,3.06E-07,Blasnik et al. 1995,Single Family,NO,NO,,75.4,0.30,,,,,Aspen,,,,,,,46000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,0.51,1133,0.51,1133,3.95E-07,Blasnik et al. 1995,Single Family,NO,YES,,75.8,0.30,,,,,Bonita Canyon,,,,,,,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,0.75,1417,0.75,1417,3.75E-07,Blasnik et al. 1995,Single Family,NO,NO,,83.7,0.34,,,,,Avalon Village,,,,,,,42500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1,0.76,1333,0.76,1333,4.25E-07,Blasnik et al. 1995,Single Family,NO,NO,,84.4,0.34,,,,,Westgate,,,,,,,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1,0.54,1883,0.54,1883,1.53E-07,Blasnik et al. 1995,Single Family,NO,YES,,85.1,0.34,,,,,Angel Park,,,,,,,56500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1,0.76,1233,0.76,1233,4.99E-07,Blasnik et al. 1995,Single Family,NO,NO,,85.2,0.34,,,,,Presido,,,,,,,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,0.55,1533,0.55,1533,2.32E-07,Blasnik et al. 1995,Single Family,NO,YES,,85.6,0.34,,,,,Pecolli Ranch,,,,,,,46000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,0.77,1533,0.77,1533,3.27E-07,Blasnik et al. 1995,Single Family,NO,NO,,87.5,0.35,,,,,Bonita Canyon,,,,,,,46000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1,0.78,1233,0.78,1233,5.10E-07,Blasnik et al. 1995,Single Family,NO,NO,,89.3,0.36,,,,,Presido,,,,,,,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,0.78,1333,0.78,1333,4.41E-07,Blasnik et al. 1995,Single Family,NO,NO,,91.4,0.37,,,,,Westgate,,,,,,,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,0.79,1400,0.79,1400,4.04E-07,Blasnik et al. 1995,Single Family,NO,NO,,93.4,0.38,,,,,Applause,,,,,,,42000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,0.58,1967,0.58,1967,1.50E-07,Blasnik et al. 1995,Single Family,NO,YES,,93.7,0.38,,,,,Montage,,,,,,,59000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,0.59,1233,0.59,1233,3.85E-07,Blasnik et al. 1995,Single Family,NO,YES,,95.6,0.38,,,,,Silverado,,,,,,,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,0.60,720,0.60,720,1.16E-06,Blasnik et al. 1995,Single Family,NO,YES,,99,0.40,,,,,Presidio,,,,,,,21600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,0.60,1193,0.60,1193,4.24E-07,Blasnik et al. 1995,Single Family,NO,YES,,100,0.40,,,,,Montage,,,,,,,35800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,0.60,1193,0.60,1193,4.24E-07,Blasnik et al. 1995,Single Family,NO,YES,,100,0.40,,,,,Montage,,,,,,,35800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,0.61,1193,0.61,1193,4.30E-07,Blasnik et al. 1995,Single Family,NO,YES,,102,0.41,,,,,Montage,,,,,,,35800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,0.83,1897,0.83,1897,2.30E-07,Blasnik et al. 1995,Single Family,NO,NO,,102.1,0.41,,,,,Westgate,,,,,,,56900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1,0.62,1967,0.62,1967,1.60E-07,Blasnik et al. 1995,Single Family,NO,YES,,103.9,0.42,,,,,Los Prados,,,,,,,59000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,0.63,933,0.63,933,7.20E-07,Blasnik et al. 1995,Single Family,NO,YES,,105.8,0.43,,,,,Bonita Canyon,,,,,,,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,0.85,1950,0.85,1950,2.22E-07,Blasnik et al. 1995,Single Family,NO,NO,,106.6,0.43,,,,,Hermosa,,,,,,,58500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,0.89,1167,0.89,1167,6.53E-07,Blasnik et al. 1995,Single Family,NO,NO,,117.6,0.47,,,,,White Cliffs,,,,,,,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1,0.68,1233,0.68,1233,4.47E-07,Blasnik et al. 1995,Single Family,NO,YES,,118.9,0.48,,,,,Presidio,,,,,,,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1,0.70,1400,0.70,1400,3.56E-07,Blasnik et al. 1995,Single Family,NO,YES,,123.1,0.49,,,,,Hermosa,,,,,,,42000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,0.70,1193,0.70,1193,4.90E-07,Blasnik et al. 1995,Single Family,NO,YES,,123.3,0.50,,,,,Montage,,,,,,,35800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1,0.93,1133,0.93,1133,7.26E-07,Blasnik et al. 1995,Single Family,NO,NO,,128.3,0.52,,,,,Westgate,,,,,,,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1,0.72,1333,0.72,1333,4.05E-07,Blasnik et al. 1995,Single Family,NO,YES,,128.7,0.52,,,,,Angel Park,,,,,,,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1,0.96,1400,0.96,1400,4.92E-07,Blasnik et al. 1995,Single Family,NO,NO,,136.3,0.55,,,,,Plateau @ Summerlin,,,,,,,42000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,0.76,940,0.76,940,8.66E-07,Blasnik et al. 1995,Single Family,NO,YES,,140,0.56,,,,,Pebble Canyon,,,,,,,28200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1,1.00,933,1.00,933,1.15E-06,Blasnik et al. 1995,Single Family,NO,NO,,144.7,0.58,,,,,Westgate ,,,,,,,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,0.79,1100,0.79,1100,6.54E-07,Blasnik et al. 1995,Single Family,NO,YES,,146.5,0.59,,,,,Pebble Canyon,,,,,,,33000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,0.92,1167,0.92,1167,6.74E-07,Blasnik et al. 1995,Single Family,NO,YES,,177.9,0.71,,,,,White Cliffs,,,,,,,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,0.81,1533,0.81,1533,3.44E-07,Blasnik et al. 1995,Single Family,YES,YES,,201,0.81,,,,,Palm Canyon,,,,,,,46000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,0.78,1550,0.78,1550,3.26E-07,Blasnik et al. 1995  ,Single Family,NO,NO,,91.1,0.37,,,,,Silverado,,,,,,,46500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,0.59,1533,0.59,1533,2.50E-07,Blasnik et al. 1995  ,Single Family,NO,YES,,95.7,0.38,,,,,Panorama Estates,,,,,,,46000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2,0.41,1080000,0.41,0,#DIV/0!,Blasnik et al. 1996,Single Family,NO,YES,,52.5,0.21,,,,,"Phoenix, AZ",,,,,,,,"1,080,000",,,,,,,1.95349E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2,0.67,767000,0.67,0,#DIV/0!,Blasnik et al. 1996,Single Family,NO,NO,,63.2,0.25,,,,,"Phoenix, AZ",,,,,,,,"767,000",,,,,,,3.31128E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2,0.72,1247000,0.72,0,#DIV/0!,Blasnik et al. 1996,Single Family,NO,NO,,76,0.31,,,,,"Phoenix, AZ",,,,,,,,"1,247,000",,,,,,,2.44919E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2,0.57,1133000,0.57,0,#DIV/0!,Blasnik et al. 1996,Single Family,NO,YES,,91,0.37,,,,,"Phoenix, AZ",,,,,,,,"1,133,000",,,,,,,3.22765E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,0.81,861000,0.81,0,#DIV/0!,Blasnik et al. 1996,Single Family,NO,NO,,96.6,0.39,,,,,"Phoenix, AZ",,,,,,,,"861,000",,,,,,,4.50867E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2,0.61,1085000,0.61,0,#DIV/0!,Blasnik et al. 1996,Single Family,NO,YES,,101,0.41,,,,,"Phoenix, AZ",,,,,,,,"1,085,000",,,,,,,3.74082E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2,0.82,1184000,0.82,0,#DIV/0!,Blasnik et al. 1996,Single Family,NO,NO,,101.2,0.41,,,,,"Phoenix, AZ",,,,,,,,"1,184,000",,,,,,,3.43482E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2,0.83,1058000,0.83,0,#DIV/0!,Blasnik et al. 1996,Single Family,NO,NO,,102.2,0.41,,,,,"Phoenix, AZ",,,,,,,,"1,058,000",,,,,,,3.88186E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,0.62,1158000,0.62,0,#DIV/0!,Blasnik et al. 1996,Single Family,NO,YES,,105.1,0.42,,,,,"Phoenix, AZ",,,,,,,,"1,158,000",,,,,,,3.64728E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2,0.63,1427000,0.63,0,#DIV/0!,Blasnik et al. 1996,Single Family,NO,YES,,105.5,0.42,,,,,"Phoenix, AZ",,,,,,,,"1,427,000",,,,,,,2.971E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2,0.84,1472000,0.84,0,#DIV/0!,Blasnik et al. 1996,Single Family,NO,NO,,106.2,0.43,,,,,"Phoenix, AZ",,,,,,,,"1,472,000",,,,,,,2.89929E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
